Date	Open	High	Low	Close	Volume
04.19.2016	769.51	769.9	749.33	753.93	2027642
04.20.2016	758	758.13	750.01	752.67	1525591
04.21.2016	755.38	760.45	749.55	759.14	2743620
04.22.2016	726.3	736.12	713.61	718.77	5939199
04.25.2016	716.1	723.93	715.59	723.15	1955567
04.26.2016	725.42	725.77	703.03	708.14	2727185
04.27.2016	707.29	708.98	692.37	705.84	3086722
04.28.2016	708.26	714.17	689.55	691.02	2851108
04.29.2016	690.7	697.62	689	693.01	2484273
05.02.2016	697.63	700.64	691	698.21	1644126
05.03.2016	696.87	697.84	692	692.36	1530993
05.04.2016	690.49	699.75	689.01	695.7	1688569
05.05.2016	697.7	702.32	695.72	701.43	1677405
05.06.2016	698.38	711.86	698.11	711.12	1826146
05.09.2016	712	718.71	710	712.9	1508423
05.10.2016	716.75	723.5	715.72	723.18	1563105
05.11.2016	723.41	724.48	712.8	715.29	1686823
05.12.2016	717.06	719.25	709	713.31	1360732
05.13.2016	711.93	716.66	709.26	710.83	1307338
05.16.2016	709.13	718.48	705.65	716.49	1316177
05.17.2016	715.99	721.52	704.11	706.23	1999456
05.18.2016	703.67	711.6	700.63	706.63	1763394
05.19.2016	702.36	706	696.8	700.32	1656321
05.20.2016	701.62	714.58	700.52	709.74	1816027
05.23.2016	706.53	711.48	704.18	704.24	1320927
05.24.2016	706.86	720.97	706.86	720.09	1920411
05.25.2016	720.76	727.51	719.7	725.27	1629198
05.26.2016	722.87	728.33	720.28	724.12	1542866
05.27.2016	724.01	733.94	724	732.66	1974026
05.31.2016	731.74	739.73	731.26	735.72	2129545
06.01.2016	734.53	737.21	730.66	734.15	1253593
06.02.2016	732.5	733.02	724.17	730.4	1341807
06.03.2016	729.27	729.49	720.56	722.34	1226253
06.06.2016	724.91	724.91	714.61	716.55	1566059
06.07.2016	719.84	721.98	716.55	716.65	1336754
06.08.2016	723.96	728.57	720.58	728.28	1583701
06.09.2016	722.87	729.54	722.34	728.58	988914
06.10.2016	719.47	725.89	716.43	719.41	1216443
06.13.2016	716.51	725.44	716.51	718.36	1258930
06.14.2016	716.48	722.47	713.12	718.27	1306065
06.15.2016	719	722.98	717.31	718.92	1214517
06.16.2016	714.91	716.65	703.26	710.36	1982471
06.17.2016	708.65	708.82	688.45	691.72	3402357
06.20.2016	698.77	702.48	693.41	693.71	2082538
06.21.2016	698.4	702.77	692.01	695.94	1465634
06.22.2016	699.06	700.86	693.08	697.46	1184318
06.23.2016	697.45	701.95	687	701.87	2171415
06.24.2016	675.17	689.4	673.45	675.22	4449022
06.27.2016	671	672.3	663.28	668.26	2641085
06.28.2016	678.97	680.33	673	680.04	2173762
06.29.2016	683	687.43	681.41	684.11	1932561
06.30.2016	685.47	692.32	683.65	692.1	1597714
07.01.2016	692.2	700.65	692.13	699.21	1344710
07.05.2016	696.06	696.94	688.88	694.49	1462616
07.06.2016	689.98	701.68	689.09	697.77	1411925
07.07.2016	698.08	698.2	688.22	695.36	1304200
07.08.2016	699.5	705.71	696.44	705.63	1575166
07.11.2016	708.05	716.51	707.24	715.09	1111762
07.12.2016	719.12	722.94	715.91	720.64	1336921
07.13.2016	723.62	724	716.85	716.98	935876
07.14.2016	721.58	722.21	718.03	720.95	950193
07.15.2016	725.73	725.74	719.06	719.85	1279339
07.18.2016	722.71	736.13	721.19	733.78	1295476
07.19.2016	729.89	736.99	729	736.96	1227486
07.20.2016	737.33	742.13	737.1	741.19	1289671
07.21.2016	740.36	741.69	735.83	738.63	1026306
07.22.2016	741.86	743.24	736.56	742.74	1259823
07.25.2016	740.67	742.61	737.5	739.77	1032432
07.26.2016	739.04	741.69	734.27	738.42	1186738
07.27.2016	738.28	744.46	737	741.77	1512517
07.28.2016	747.04	748.65	739.3	745.91	3530169
07.29.2016	772.71	778.55	766.77	768.79	3841482
08.01.2016	761.09	780.43	761.09	772.88	2700470
08.02.2016	768.69	775.84	767.85	771.07	1784525
08.03.2016	767.18	773.21	766.82	773.18	1287421
08.04.2016	772.22	774.07	768.8	771.61	1140254
08.05.2016	773.78	783.04	772.34	782.22	1801205
08.08.2016	782	782.63	778.09	781.76	1107857
08.09.2016	781.1	788.94	780.57	784.26	1318894
08.10.2016	783.75	786.81	782.78	784.68	786363
08.11.2016	785	789.75	782.97	784.85	975113
08.12.2016	781.5	783.4	780.4	783.22	740498
08.15.2016	783.75	787.49	780.11	782.44	938186
08.16.2016	780.3	780.98	773.44	777.14	1028047
08.17.2016	777.32	780.81	773.53	779.91	924226
08.18.2016	780.01	782.86	777	777.5	719429
08.19.2016	775	777.1	773.13	775.42	861546
08.22.2016	773.27	774.54	770.05	772.15	951362
08.23.2016	775.48	776.44	771.78	772.08	928232
08.24.2016	770.58	774.5	767.07	769.64	1071999
08.25.2016	767	771.89	763.18	769.41	926883
08.26.2016	769	776.08	765.85	769.54	1166681
08.29.2016	768.74	774.99	766.62	772.15	847565
08.30.2016	769.33	774.47	766.84	769.09	1130029
08.31.2016	767.01	769.09	765.38	767.05	1248556
09.01.2016	769.25	771.02	764.3	768.78	925131
09.02.2016	773.01	773.92	768.41	771.46	1072658
09.06.2016	773.45	782	771	780.08	1442822
09.07.2016	780	782.73	776.2	780.35	894021
09.08.2016	778.59	780.35	773.58	775.32	1270264
09.09.2016	770.1	773.24	759.66	759.66	1885496
09.12.2016	755.13	770.29	754	769.02	1310986
09.13.2016	764.48	766.22	755.8	759.69	1395046
09.14.2016	759.61	767.68	759.11	762.49	1094490
09.15.2016	762.89	773.8	759.96	771.76	1346751
09.16.2016	769.75	769.75	764.66	768.88	2049338
09.19.2016	772.42	774	764.44	765.7	1172824
09.20.2016	769	773.33	768.53	771.41	978631
09.21.2016	772.66	777.16	768.3	776.22	1167810
09.22.2016	780	789.85	778.44	787.21	1486223
09.23.2016	786.59	788.93	784.15	786.9	1411937
09.26.2016	782.74	782.74	773.07	774.21	1533206
09.27.2016	775.5	785.99	774.31	783.01	1153247
09.28.2016	777.85	781.81	774.97	781.56	1109834
09.29.2016	781.44	785.8	774.23	775.01	1314746
09.30.2016	776.33	780.94	774.09	777.29	1585333
10.03.2016	774.25	776.06	769.5	772.56	1278821
10.04.2016	776.03	778.71	772.89	776.43	1201350
10.05.2016	779.31	782.07	775.65	776.47	1461151
10.06.2016	779	780.48	775.54	776.86	1070692
10.07.2016	779.66	779.66	770.75	775.08	933158
10.10.2016	777.71	789.38	775.87	785.94	1174923
10.11.2016	786.66	792.28	780.58	783.07	1372461
10.12.2016	783.76	788.13	782.06	786.14	937435
10.13.2016	781.22	781.22	773	778.19	1365277
10.14.2016	781.65	783.95	776	778.53	852487
10.17.2016	779.8	785.85	777.5	779.96	1092973
10.18.2016	787.85	801.61	785.56	795.26	2056903
10.19.2016	798.86	804.63	797.64	801.56	1766798
10.20.2016	803.3	803.97	796.03	796.97	1757528
10.21.2016	795	799.5	794	799.37	1266181
10.24.2016	804.9	815.18	804.82	813.11	1697514
10.25.2016	816.68	816.68	805.14	807.67	1576404
10.26.2016	806.34	806.98	796.32	799.07	1647733
10.27.2016	801	803.49	791.5	795.35	2749221
10.28.2016	808.35	815.49	793.59	795.37	4269902
10.31.2016	795.47	796.86	784	784.54	2427284
11.01.2016	782.89	789.49	775.54	783.61	2406356
11.02.2016	778.2	781.65	763.45	768.7	1918414
11.03.2016	767.25	769.95	759.03	762.13	1943175
11.04.2016	750.66	770.36	750.56	762.02	2134812
11.07.2016	774.5	785.19	772.55	782.52	1585070
11.08.2016	783.4	795.63	780.19	790.51	1366873
11.09.2016	779.94	791.23	771.67	785.31	2607121
11.10.2016	791.17	791.17	752.18	762.56	4745183
11.11.2016	756.54	760.78	750.38	754.02	2431815
11.14.2016	755.6	757.85	727.54	736.08	3654385
11.15.2016	746.97	764.42	746.97	758.49	2384001
11.16.2016	755.2	766.36	750.51	764.48	1472594
11.17.2016	766.92	772.7	764.23	771.23	1286961
11.18.2016	771.37	775	760	760.54	1547145
